fips	state	county	married	single_mom	gini_index	per_capita_income	welfare	educated	advanced_educ	mean_experience	mean_salary	exp_1_5	exp_6_10	exp_11_20	exp_21_30	exp_gt_30	mbsal_1_5	mbsal_6_10	mbsal_11_20	mbsal_21_30	mbsal_gt_30	dropout_rate
29189	Missouri	St. Louis County	48.2	13.4	0.474	10.411388904784872	30.5	89.8	61.3	12.6	50381	25.8	25.2	28.4	15.7	4.8	37274.1	44899.2	55421.2	64401.5	67954.9	3.1
28063	Mississippi	Jefferson County	31.1	29.6	0.515	9.502114062331216	20.1	75.7	43.6	11	37660	40.4	23.4	18.1	13.8	4.3	32835	36402	39477	47796	49747	3.9
16019	Idaho	Bonneville County	59.9	9.8	0.424	10.051433307284436	38.9	89.9	14.9	14.7	41146	23.2	14.2	32.7	21.3	8.6	30713.7	36528.3	44516.3	47279.7	48940.3	1.8
28099	Mississippi	Neshoba County	45.4	16.6	0.463	9.762557428101925	20.8	74.4	33.6	14	39323	25.3	16.3	30.7	21.1	6.6	32348	36019	40104.7	46827.3	46293	2.2
31109	Nebraska	Lancaster County	48.6	9.2	0.435	10.139665782120794	42.5	92.1	40.6	16	42583	19.8	19.6	26.2	21	13.4	32033.4	39352	44211	47892	51200.2	2.4
48157	Texas	Fort Bend County	66.2	11.5	0.418	10.326825322178925	34.1	87.1	21.6	11.2	47308	35.8	22.8	23.6	13.8	4.1	42034	44595	49482.8	57157.2	63572.2	2.8
20145	Kansas	Pawnee County	55.3	10	0.381	9.781037392779565	8.5	87.4	39.7	18	36494	17.6	14.7	29.4	17.6	20.6	28807	31844	38294	39635	41141	2.2
29173	Missouri	Ralls County	66.8	3	0.378	9.956506856511764	30.4	81	44.3	14.3	33794	30.5	13.6	25.1	23.7	7.2	28532	31618	34164.3	39192	41540	5.8
40061	Oklahoma	Haskell County	53.9	7.5	0.458	9.798127036878302	46	74.5	25.3	17	39474	21.4	18.8	23.5	23	13.2	33003.5	35723	42009.5	44003.5	44579	1.4
29163	Missouri	Pike County	57.2	9.3	0.412	9.837828403729851	39.8	77.9	51.5	15	34001	27	14.6	30	19.1	9.3	28249	30920.5	34756	39508.5	41673.5	3.5
