leaid	FIPST	STNAME	LEANAME07	COUNTYID07	COUNTYNAME07	COUNTYAREA07
0100002	01	Alabama	ALABAMA YOUTH SERVICES	N	N	-2
0100005	01	Alabama	ALBERTVILLE CITY	01095	Marshall	26.566706101
0100006	01	Alabama	MARSHALL COUNTY	01095	Marshall	489.67080967
0100007	01	Alabama	HOOVER CITY	01117	Shelby	20.595600829
0100007	01	Alabama	HOOVER CITY	01073	Jefferson	26.196270021
0100008	01	Alabama	MADISON CITY	01089	Madison	22.871162337
0100009	01	Alabama	AL INST DEAF AND BLIND	N	N	-2
0100010	01	Alabama	AL SCH OF MATH AND SCIENCE	N	N	-2
0100011	01	Alabama	LEEDS CITY	01117	Shelby	0.5025420967
0100011	01	Alabama	LEEDS CITY	01115	St. Clair	2.593000817
0100011	01	Alabama	LEEDS CITY	01073	Jefferson	19.669564878
0100012	01	Alabama	BOAZ CITY	01055	Etowah	2.0558875176
0100012	01	Alabama	BOAZ CITY	01095	Marshall	11.456252693
0100013	01	Alabama	TRUSSVILLE CITY	01115	St. Clair	2.2338474155
0100013	01	Alabama	TRUSSVILLE CITY	01073	Jefferson	29.924555249
0100014	01	Alabama	ALABAMA CLINICAL ENTERPRISES	N	N	-2
0100015	01	Alabama	SAFETYNET ACADEMY	N	N	-2
0100016	01	Alabama	BRYCE ADOLESCENT SCHOOL	N	N	-2
0100017	01	Alabama	SEARCY HOSPITAL	N	N	-2
0100018	01	Alabama	ALABAMA SCHOOL OF FINE ARTS	N	N	-2
0100019	01	Alabama	UCP OF GREATER BIRMINGHAM	N	N	-2
0100020	01	Alabama	BOYD SCHOOL	N	N	-2
0100021	01	Alabama	BREWERS PORCH CHILDRENS CENTER	N	N	-2
0100022	01	Alabama	THREE SPRINGS COURTLAND SCH	N	N	-2
0100023	01	Alabama	THREE SPRINGS MADISON SCH	N	N	-2
0100024	01	Alabama	THREE SPRINGS NEW BEGINNINGS	N	N	-2
0100026	01	Alabama	THREE SPRINGS NEW TUSKEGEE	N	N	-2
0100028	01	Alabama	THREE SPRINGS NEW TUSKEGEE	N	N	-2
0100029	01	Alabama	THREE SPRINGS NEW DIRECTION	N	N	-2
0100030	01	Alabama	ALEXANDER CITY	01123	Tallapoosa	95.228838898
0100032	01	Alabama	THE BRIDGE	N	N	-2
0100033	01	Alabama	GLENWOOD MENTAL HEALTH SERVICE	N	N	-2
0100035	01	Alabama	LEARNING TREE INC	N	N	-2
0100036	01	Alabama	LEE CO YOUTH DEVELOPMENT CTR	N	N	-2
0100037	01	Alabama	BAY POINT CENTER	N	N	-2
0100038	01	Alabama	PATHWAY INC	N	N	-2
0100039	01	Alabama	PRESBYTERIAN HOME FOR CHILDREN	N	N	-2
0100040	01	Alabama	BRANTWOOD CHILDREN'S HOME	N	N	-2
0100041	01	Alabama	DEVELOPING ALABAMA YOUTH PROG	N	N	-2
0100042	01	Alabama	LAUREL OAKS BEHAVIORAL HEALTH	N	N	-2
0100043	01	Alabama	MOUNTAINVIEW HOSPITAL	N	N	-2
0100044	01	Alabama	THE RUSHTON SCHOOL	N	N	-2
0100045	01	Alabama	WILMER HALL	N	N	-2
0100046	01	Alabama	THREE SPRINGS PAINT ROCK VALLEY	N	N	-2
0100060	01	Alabama	ANDALUSIA CITY	01039	Covington	18.947938755
0100090	01	Alabama	ANNISTON CITY	01015	Calhoun	45.626556185
0100100	01	Alabama	ARAB CITY	01009	Blount	0.9222378637
0100100	01	Alabama	ARAB CITY	01043	Cullman	4.8794199046
0100100	01	Alabama	ARAB CITY	01095	Marshall	12.788114462
0100120	01	Alabama	ATHENS CITY	01083	Limestone	38.548907176
0100173	01	Alabama	COMPASS ACADEMY	N	N	-2
0100174	01	Alabama	ETOWAH ACADEMY	N	N	-2
0100175	01	Alabama	POINTE ACADEMY	N	N	-2
0100176	01	Alabama	ALABAMA CORRECTIONAL FACILITIES	N	N	-2
0100178	01	Alabama	HIGDON HILL SCHOOL	N	N	-2
0100179	01	Alabama	THE BRIDGE II	N	N	-2
0100180	01	Alabama	ATTALLA CITY	01055	Etowah	6.9820682567
0100181	01	Alabama	COMPASS SCHOOL	N	N	-2
0100183	01	Alabama	ALABAMA CLINICAL SCHOOL	N	N	-2
0100184	01	Alabama	EXCEL INSTITUTE	N	N	-2
0100185	01	Alabama	SARALAND CITY	N	N	-2
0100210	01	Alabama	AUBURN CITY	01081	Lee	55.563457051
0100240	01	Alabama	AUTAUGA COUNTY	01001	Autauga	594.42368613
0100270	01	Alabama	BALDWIN COUNTY	01003	Baldwin	1589.7821805
0100300	01	Alabama	BARBOUR COUNTY	01005	Barbour	825.58181698
0100330	01	Alabama	BESSEMER CITY	01073	Jefferson	40.685428272
0100360	01	Alabama	BIBB COUNTY	01007	Bibb	622.58229768
0100390	01	Alabama	BIRMINGHAM CITY	01073	Jefferson	145.5861726
0100420	01	Alabama	BLOUNT COUNTY	01009	Blount	628.8882018
0100450	01	Alabama	BREWTON CITY	01053	Escambia	11.195041058
0100480	01	Alabama	BULLOCK COUNTY	01011	Bullock	622.80459485
0100510	01	Alabama	BUTLER COUNTY	01013	Butler	776.83916219
0100540	01	Alabama	CALHOUN COUNTY	01015	Calhoun	485.18146686
0100600	01	Alabama	CHAMBERS COUNTY	01017	Chambers	590.5363882
0100630	01	Alabama	CHEROKEE COUNTY	01019	Cherokee	553.70581447
0100660	01	Alabama	CHILTON COUNTY	01021	Chilton	692.85577037
0100690	01	Alabama	CHOCTAW COUNTY	01023	Choctaw	913.50004209
0100720	01	Alabama	CLARKE COUNTY	01025	Clarke	1132.6671741
0100750	01	Alabama	CLAY COUNTY	01027	Clay	603.98170957
0100780	01	Alabama	CLEBURNE COUNTY	01029	Cleburne	511.11330554
0100810	01	Alabama	COFFEE COUNTY	01031	Coffee	496.04539094
0100840	01	Alabama	COLBERT COUNTY	01033	Colbert	562.19960247
0100870	01	Alabama	CONECUH COUNTY	01035	Conecuh	850.15283275
0100900	01	Alabama	COOSA COUNTY	01037	Coosa	650.91104592
0100930	01	Alabama	COVINGTON COUNTY	01039	Covington	987.85507153
0100960	01	Alabama	CRENSHAW COUNTY	01041	Crenshaw	608.82421926
0100990	01	Alabama	CULLMAN CITY	01043	Cullman	18.961192484
0101020	01	Alabama	CULLMAN COUNTY	01043	Cullman	711.01096916
0101050	01	Alabama	DALE COUNTY	01045	Dale	361.74342159
0101080	01	Alabama	DALEVILLE CITY	01045	Dale	60.36891947
0101110	01	Alabama	DALLAS COUNTY	01047	Dallas	964.93636148
0101140	01	Alabama	DEKALB COUNTY	01049	DeKalb	721.62595695
0101170	01	Alabama	DECATUR CITY	01083	Limestone	4.7662915813
0101170	01	Alabama	DECATUR CITY	01103	Morgan	48.297492498
0101200	01	Alabama	DEMOPOLIS CITY	01091	Marengo	17.738114231
0101230	01	Alabama	DOTHAN CITY	01067	Henry	0.1499736678
0101230	01	Alabama	DOTHAN CITY	01045	Dale	6.1220322256
0101230	01	Alabama	DOTHAN CITY	01069	Houston	81.438234849
0101260	01	Alabama	ELBA CITY	01031	Coffee	83.941431389
