LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
0400001	52.0	48.0	33.8	30.1	27.8	7.0	1.3	9	37590	41876	50251	57654	54608	44024
0400003	58.8	41.2	41.2	27.7	20.3	10.8	0.0	9	34095	38028	43183	50140	-2	38761
0400004	39.1	60.9	13.0	21.7	39.1	26.1	0.0	14	33300	40100	46478	56731	-2	46047
0400005	87.5	-1.0	37.5	50.0	-1.0	0.0	0.0	6	33980	37725	-1	-2	-2	36646
0400021	72.7	27.3	31.8	31.8	-1.0	18.2	-1.0	12	25839	29268	-1	44685	-1	32988
0400022	83.3	-1.0	0.0	66.7	-1.0	0.0	0.0	10	-2	32522	-1	-2	-2	33838
0400023	62.1	36.8	32.2	43.7	16.1	8.0	0.0	9	34006	37594	42526	47993	-2	38069
0400026	62.1	31.0	27.6	31.0	34.5	-1.0	0.0	10	31457	34587	41729	-1	-2	37038
0400028	75.0	-1.0	75.0	-1.0	0.0	0.0	0.0	5	26433	-1	-2	-2	-2	26825
0400043	62.5	37.5	87.5	0.0	0.0	-1.0	0.0	7	33951	-2	-2	-1	-2	33872
0400082	66.1	32.2	36.5	19.1	37.4	7.0	0.0	10	39335	44475	47337	56525	-2	44506
0400099	100.0	0.0	60.0	-1.0	-1.0	0.0	0.0	5	32104	-1	-1	-2	-2	37692
0400129	61.5	38.5	61.5	-1.0	-1.0	-1.0	0.0	7	28688	-1	-1	-1	-2	31615
0400138	66.7	33.3	44.4	-1.0	-1.0	-1.0	-1.0	11	33177	-1	-1	-1	-1	37723
0400141	85.7	-1.0	57.1	-1.0	-1.0	0.0	0.0	6	22925	-1	-1	-2	-2	23709
0400152	-1.0	-1.0	-1.0	-1.0	0.0	0.0	0.0	4	-1	-1	-2	-2	-2	34650
0400162	0.0	-1.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-2	-2	-2	-2	-1
0400163	80.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	10	-1	-1	-1	-1	-2	39263
0400212	66.7	33.3	28.3	28.3	31.7	11.7	0.0	11	32078	38178	44412	49339	-2	39726
0400216	-1.0	60.0	80.0	-1.0	0.0	0.0	0.0	4	42752	-1	-2	-2	-2	43002
0400241	71.2	28.8	59.3	23.7	10.2	-1.0	-1.0	7	34202	42024	42290	-1	-1	37320
0400281	78.6	21.4	35.7	28.6	28.6	-1.0	0.0	9	29203	30575	38033	-1	-2	33474
0400295	66.5	33.0	39.2	27.3	22.9	9.9	0.8	9	33235	37522	42649	48803	56409	38273
0400315	75.0	-1.0	-1.0	-1.0	0.0	-1.0	0.0	8	-1	-1	-2	-1	-2	37478
0400348	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-2	-2	-2	-2	-1
0400412	-1.0	60.0	-1.0	0.0	-1.0	0.0	-1.0	13	-1	-2	-1	-2	-1	41410
0400419	0.0	-1.0	0.0	0.0	0.0	-1.0	0.0	-1	-2	-2	-2	-1	-2	-1
0400427	50.0	50.0	-1.0	62.5	-1.0	-1.0	0.0	10	-1	40240	-1	-1	-2	41564
0400431	-1.0	0.0	-1.0	-1.0	0.0	0.0	0.0	-1	-1	-1	-2	-2	-2	-1
0400434	-1.0	0.0	-1.0	0.0	-1.0	0.0	0.0	-1	-1	-2	-1	-2	-2	-1
0400450	56.3	43.8	44.9	34.4	17.2	3.1	-1.0	7	39034	45006	51155	58927	-1	43839
0400480	75.0	25.0	33.3	25.0	33.3	-1.0	0.0	9	30581	38677	43935	-1	-2	38912
0400520	64.3	35.7	32.1	21.4	-1.0	35.7	-1.0	16	31948	33501	-1	47485	-1	39332
0400600	70.2	29.8	47.1	25.3	21.6	5.0	1.1	8	41690	51252	60458	63322	59364	49430
0400616	-1.0	0.0	-1.0	0.0	0.0	0.0	0.0	-1	-1	-2	-2	-2	-2	-1
0400630	-1.0	60.0	-1.0	60.0	0.0	-1.0	0.0	9	-1	41103	-2	-1	-2	44212
0400680	52.6	46.2	28.1	28.2	25.7	14.9	3.1	12	34474	39003	46470	55972	60395	42837
0400720	58.8	35.3	23.5	29.4	29.4	17.6	0.0	11	38232	43437	46369	53284	-2	44812
0400790	49.5	49.8	37.3	24.4	22.8	13.2	2.3	10	34520	41017	48028	56554	59567	42660
0400840	66.7	33.3	50.0	-1.0	25.0	-1.0	0.0	9	38391	-1	43549	-1	-2	40466
0400870	75.0	-1.0	75.0	0.0	-1.0	0.0	0.0	6	27359	-2	-1	-2	-2	30571
0400910	52.9	35.3	23.5	70.6	-1.0	0.0	0.0	6	41148	38893	-1	-2	-2	39768
0400960	57.3	42.7	51.4	27.4	11.8	9.0	-1.0	8	35991	45350	57211	66124	-1	43859
0401000	53.3	46.7	53.3	20.0	26.7	0.0	0.0	7	39006	42735	44040	-2	-2	41094
0401050	62.2	37.8	51.9	24.3	18.9	4.3	-1.0	8	38348	42975	51153	56393	-1	42853
0401080	55.0	45.0	40.0	30.0	20.0	-1.0	0.0	9	31794	36673	45111	-1	-2	38441
0401160	75.0	25.0	50.0	33.3	0.0	-1.0	0.0	7	38841	38132	-2	-1	-2	38881
0401180	62.7	37.3	27.5	23.5	33.3	13.7	-1.0	11	37411	39641	44703	46882	-1	41824
0401260	-1.0	80.0	0.0	-1.0	70.0	-1.0	0.0	16	-2	-1	38164	-1	-2	39615
0401290	50.0	50.0	-1.0	50.0	0.0	-1.0	0.0	11	-1	31308	-2	-1	-2	33666
0401330	55.6	44.4	0.0	33.3	-1.0	44.4	0.0	17	-2	38221	-1	53401	-2	45537
0401380	82.9	16.5	65.2	14.0	20.7	0.0	0.0	6	31888	35020	42324	-2	-2	34491
0401410	60.0	38.3	45.2	30.4	18.3	5.2	-1.0	8	39155	43566	47019	49475	-1	42563
0401460	59.4	40.6	26.5	28.1	26.8	13.0	5.6	12	30941	36800	45462	52315	52011	40430
0401500	80.7	18.8	61.4	14.4	17.8	5.9	-1.0	7	33309	35684	40720	45604	-1	35780
0401600	57.5	42.5	32.5	21.3	31.3	11.3	3.8	11	35414	40171	43183	45512	45559	40369
0401650	81.8	-1.0	45.5	-1.0	27.3	-1.0	0.0	9	33629	-1	38222	-1	-2	36461
0401680	54.9	44.7	51.6	18.6	18.2	9.7	1.9	8	37260	45420	51089	61513	63227	44140
0401710	63.3	36.7	44.9	29.2	17.8	6.0	2.1	8	37091	40624	49030	54612	56172	41703
0401740	51.7	47.1	39.5	18.6	32.0	8.7	-1.0	10	36408	40666	44697	46295	-1	40929
0401760	42.5	56.4	28.7	26.2	34.9	9.8	-1.0	11	35801	42070	49280	57797	-1	44406
0401810	64.5	35.5	16.1	25.8	35.5	22.6	0.0	12	30017	36408	42872	45626	-2	39752
0401870	40.2	59.6	45.6	28.2	20.2	5.1	0.9	8	41504	50765	58944	64578	61711	48994
0401940	51.8	48.2	16.9	33.3	25.3	19.7	4.8	14	33534	40651	48188	50998	51011	43893
0402110	60.0	40.0	50.0	0.0	50.0	0.0	0.0	7	26165	-2	32765	-2	-2	29465
0402130	37.5	62.5	37.5	-1.0	-1.0	-1.0	0.0	9	41481	-1	-1	-1	-2	46661
0402190	90.9	-1.0	27.3	-1.0	54.5	-1.0	0.0	11	32378	-1	40041	-1	-2	38646
0402220	90.0	-1.0	40.0	0.0	40.0	-1.0	0.0	12	34432	-2	45911	-1	-2	42034
0402250	45.5	54.5	31.8	36.4	18.2	-1.0	-1.0	9	35114	37889	41265	-1	-1	39091
0402320	73.4	26.2	65.5	31.0	3.5	0.0	0.0	4	33103	37365	39688	-2	-2	34654
0402370	69.0	31.0	42.6	26.4	19.4	10.9	-1.0	9	32794	36702	41790	48495	-1	37358
0402400	68.2	31.8	46.8	19.2	33.0	-1.0	-1.0	8	36406	41533	50263	-1	-1	42160
0402430	62.7	37.1	44.7	27.0	17.7	9.9	0.7	9	37267	42647	50500	55682	60820	43052
0402480	71.4	-1.0	42.9	0.0	42.9	-1.0	0.0	11	35717	-2	39650	-1	-2	37382
0402490	-1.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	25	-2	-2	-1	-2	-1	46418
0402530	62.6	37.4	27.4	25.3	20.0	23.2	4.2	13	34697	36518	41322	51879	53974	41273
0402600	60.0	40.0	16.0	36.0	24.0	20.0	-1.0	14	32225	36211	39183	41750	-1	36426
0402690	69.0	30.9	55.7	24.6	15.9	2.9	0.9	7	41446	47566	54657	65877	64761	45972
0402740	62.5	37.5	0.0	75.0	18.8	-1.0	0.0	10	-2	53822	56998	-1	-2	54568
0402760	60.0	40.0	40.0	30.0	-1.0	-1.0	0.0	10	32250	35750	-1	-1	-2	35150
0402790	82.5	17.5	39.7	23.8	12.7	22.2	-1.0	11	32719	35358	39207	41741	-1	36365
0402860	43.4	56.6	23.9	25.1	51.0	0.0	0.0	10	31174	34750	46312	-2	-2	39790
0402920	72.6	27.4	73.8	18.5	6.0	1.2	-1.0	4	34465	37203	40633	48367	-1	35576
0403010	59.5	40.2	38.9	19.3	26.8	13.7	1.3	10	33752	40708	46904	55775	67763	42085
0403040	49.2	50.8	25.8	32.8	32.0	9.4	0.0	11	34849	39178	44981	56989	-2	41590
0403060	67.5	32.5	60.0	24.6	9.6	5.0	-1.0	6	38260	44662	48974	53011	-1	41714
0403080	70.0	30.0	0.0	70.0	-1.0	-1.0	0.0	13	-2	39721	-1	-1	-2	42597
0403150	46.8	53.2	5.2	19.5	44.2	22.1	9.1	17	40820	44414	55217	64434	62218	55036
0403200	75.0	25.0	27.3	25.0	22.7	20.5	-1.0	13	34720	35750	40547	46416	-1	39353
0403240	63.6	36.4	34.6	37.4	28.0	0.0	0.0	8	34750	38656	45501	-2	-2	39224
0403290	64.7	31.0	40.5	28.4	20.7	10.3	0.0	9	37499	42842	48765	59293	-2	43605
0403310	79.3	20.7	41.4	24.1	13.8	13.8	-1.0	11	33407	35941	42892	35676	-1	35967
0403400	45.4	54.6	43.7	27.1	23.4	5.0	0.6	8	35035	39746	47895	58889	60660	40694
0403420	62.7	37.3	57.3	15.5	18.7	6.0	2.5	7	35995	40412	45740	53891	57000	40088
0403450	67.5	32.1	33.5	25.6	21.7	12.5	6.7	12	37851	47645	55741	63820	63303	49188
0403500	64.8	33.3	28.6	28.6	28.6	11.4	2.9	11	32796	32729	37893	47801	42790	36234
0403550	68.0	32.0	52.0	16.0	28.0	-1.0	0.0	8	31968	34986	39299	-1	-2	34995
0403660	100.0	0.0	-1.0	60.0	0.0	0.0	0.0	6	-1	46652	-2	-2	-2	45949
0403730	79.3	20.7	17.2	24.1	37.9	17.2	-1.0	14	29603	31742	35866	43859	-1	35537
0403780	63.2	36.8	59.0	28.2	12.8	0.0	0.0	5	35259	39539	52028	-2	-2	38611
0403820	71.2	27.4	29.5	26.0	31.5	11.0	2.1	11	36625	41179	46190	53260	60270	43133
0403860	80.0	20.0	60.0	26.7	6.7	5.0	-1.0	6	42867	46213	44663	52073	-1	44638
0403870	63.6	36.1	28.9	29.2	34.3	6.6	0.9	10	34926	37617	44710	48543	42010	40038
0403900	80.0	-1.0	0.0	-1.0	-1.0	40.0	-1.0	21	-2	-1	-1	50788	-1	43555
0403950	73.7	26.3	44.7	19.7	23.7	10.5	-1.0	9	33509	38059	43003	49964	-1	38598
0403960	64.8	35.2	37.0	34.0	18.1	8.1	2.8	9	39190	43400	51308	60442	51775	44882
0403990	69.1	30.0	68.2	27.3	3.6	-1.0	0.0	4	34214	37749	40687	-1	-2	35495
0404010	67.7	32.3	32.3	-1.0	48.4	12.9	0.0	11	35181	-1	46067	54263	-2	43152
0404060	48.1	51.9	31.4	24.4	29.5	11.5	3.2	11	34790	37756	42377	52326	53057	40358
0404170	80.0	-1.0	-1.0	-1.0	60.0	0.0	0.0	10	-1	-1	38440	-2	-2	35986
0404230	54.3	45.7	30.8	21.4	35.8	11.9	-1.0	11	36729	43935	53297	61618	-1	47182
0404280	57.1	42.9	47.4	20.6	32.1	0.0	0.0	7	37228	41204	49935	-2	-2	42120
0404290	74.6	25.4	55.1	18.6	14.4	5.9	5.9	8	34045	37643	38523	43425	46712	36669
0404320	78.4	21.1	63.2	22.1	10.0	3.7	-1.0	6	36100	40643	46477	52131	-1	38900
0404380	68.4	31.3	53.1	28.0	15.3	1.9	1.7	7	39397	44731	49068	54055	53046	42880
0404410	77.1	22.9	54.3	22.9	17.1	-1.0	0.0	7	32701	38723	43185	-1	-2	36799
0404440	68.2	31.8	77.6	9.9	10.9	1.6	0.0	4	36512	39720	45963	42146	-2	37951
0404500	53.9	46.1	58.7	18.5	17.3	3.7	1.8	7	34617	37745	44115	51241	54193	37816
0404530	63.6	36.4	90.9	-1.0	0.0	0.0	0.0	4	35501	-1	-2	-2	-2	35723
0404570	53.4	46.6	24.7	23.3	52.1	0.0	0.0	10	36450	39327	44110	-2	-2	41108
0404630	56.4	43.3	31.2	23.6	23.8	17.5	3.8	12	35854	39654	44817	53436	57703	42807
0404720	69.0	31.0	63.6	26.6	9.2	-1.0	0.0	5	31848	37290	43245	-1	-2	34509
0404770	54.5	45.5	40.9	15.9	27.3	13.6	-1.0	11	33588	37147	42852	51120	-1	39515
0404820	48.6	48.6	34.3	25.7	25.7	11.4	-1.0	11	31273	37782	36831	41975	-1	36060
0404860	75.0	25.0	-1.0	58.3	-1.0	-1.0	0.0	9	-1	36320	-1	-1	-2	37286
0404920	75.0	-1.0	-1.0	-1.0	-1.0	0.0	-1.0	15	-1	-1	-1	-2	-1	43696
0404970	42.9	56.8	24.6	19.4	30.6	22.2	3.3	14	39496	45426	55257	63326	66570	51644
0405030	64.6	33.8	20.0	13.8	33.8	21.5	10.8	16	34068	34585	36322	38395	38453	36307
0405070	67.7	32.3	43.5	16.1	30.6	9.7	0.0	9	42194	43473	49526	58912	-2	46265
0405100	-1.0	-1.0	0.0	0.0	0.0	-1.0	0.0	-1	-2	-2	-2	-1	-2	-1
0405190	73.3	26.7	23.3	40.7	27.9	8.1	0.0	10	34223	38626	45515	53960	-2	40773
0405220	57.1	42.9	0.0	-1.0	50.0	21.4	-1.0	20	-2	-1	39014	44290	-1	40817
0405320	55.8	44.2	21.2	40.4	34.6	-1.0	0.0	10	31891	34800	39404	-1	-2	36107
0405340	100.0	0.0	-1.0	62.5	-1.0	0.0	0.0	8	-1	39037	-1	-2	-2	39163
0405400	79.7	20.3	54.9	15.0	16.3	12.4	-1.0	8	33832	36721	42446	48064	-1	37697
0405430	56.3	43.8	18.8	25.0	25.0	18.8	-1.0	14	28476	32798	37527	44173	-1	37019
0405460	69.0	28.6	33.3	19.0	33.3	11.9	-1.0	11	38137	43413	45609	50816	-1	43505
0405500	0.0	-1.0	0.0	0.0	-1.0	0.0	0.0	-1	-2	-2	-1	-2	-2	-1
0405530	53.2	45.7	24.9	27.0	26.3	16.7	5.1	13	34207	38268	42965	49309	49883	40932
0405640	67.9	32.1	28.6	25.0	25.0	14.3	-1.0	12	33201	35647	40106	47309	-1	38766
0405670	67.6	32.4	39.6	30.9	22.7	6.8	0.0	9	34095	37555	45255	55349	-2	39136
0405730	-1.0	-1.0	0.0	-1.0	-1.0	0.0	-1.0	19	-2	-1	-1	-2	-1	60749
0405760	66.7	-1.0	-1.0	50.0	-1.0	0.0	0.0	11	-1	42007	-1	-2	-2	42599
0405820	54.6	43.8	30.8	32.4	22.2	13.0	1.6	10	38038	44527	47470	51827	57554	44338
0405850	70.0	30.0	55.0	25.0	20.0	0.0	0.0	7	35812	41380	49966	-2	-2	40035
0405880	63.5	36.5	12.7	34.9	42.9	9.5	0.0	11	32339	35783	43073	49273	-2	39755
0405930	39.3	60.7	29.7	22.1	25.4	18.5	4.3	12	35720	38724	49667	59661	58245	45322
0405980	77.2	21.9	39.5	21.1	26.3	8.8	4.4	10	34203	38564	42895	48399	46523	39194
0406000	-1.0	-1.0	-1.0	0.0	0.0	-1.0	-1.0	21	-1	-2	-2	-1	-1	48695
0406030	75.0	-1.0	-1.0	-1.0	-1.0	0.0	0.0	10	-1	-1	-1	-2	-2	41923
0406070	59.2	40.8	45.2	15.9	21.7	14.6	2.5	10	37769	43760	46664	56336	60587	43951
0406120	65.0	35.0	65.0	-1.0	20.0	-1.0	0.0	7	33308	-1	45872	-1	-2	36324
0406150	72.7	27.3	36.4	45.5	-1.0	-1.0	0.0	8	27440	28123	-1	-1	-2	29528
0406210	70.6	29.4	59.2	20.6	13.9	5.7	0.6	7	38910	44085	52416	60542	63730	43231
0406250	67.4	32.6	51.1	22.1	19.8	6.8	0.2	8	36678	42557	50971	59980	64250	42447
0406300	57.5	42.5	44.2	18.6	25.4	8.6	3.1	10	36592	43752	51137	53004	52451	43531
0406330	34.2	64.0	18.9	29.1	46.2	5.0	0.9	11	40974	50824	65626	69413	69199	56892
0406360	42.9	57.1	35.7	-1.0	35.7	-1.0	0.0	11	33525	-1	48060	-1	-2	41670
0406440	71.4	28.6	23.8	31.0	31.0	11.9	-1.0	11	33635	36734	39882	41227	-1	37722
0406480	100.0	0.0	-1.0	-1.0	-1.0	-1.0	0.0	13	-1	-1	-1	-1	-2	47500
0406510	72.7	27.3	36.4	27.3	-1.0	-1.0	0.0	10	30609	37041	-1	-1	-2	37876
0406580	63.6	35.7	22.7	22.7	33.1	16.9	4.5	13	29401	34629	39955	46328	47415	37761
0406630	-1.0	66.7	50.0	-1.0	0.0	0.0	-1.0	9	34013	-1	-2	-2	-1	38754
0406730	59.9	39.8	25.8	25.1	26.5	18.3	4.3	12	34902	37760	44243	51118	45984	41537
0406740	64.6	35.4	29.2	27.7	33.8	9.2	0.0	10	30873	34877	39788	48950	-2	36668
0406780	73.3	26.7	33.3	53.3	-1.0	0.0	0.0	8	35517	42453	-1	-2	-2	41293
0406810	61.9	38.1	39.4	46.6	11.4	2.1	-1.0	7	36825	40073	45252	52920	-1	39645
0406850	78.9	21.1	28.9	13.2	34.2	21.1	-1.0	13	35249	35726	39454	45555	-1	38782
0406870	63.9	36.1	31.9	31.9	26.4	9.7	0.0	10	34171	34891	37744	45795	-2	36474
0406900	-1.0	85.7	0.0	-1.0	57.1	-1.0	-1.0	20	-2	-1	41233	-1	-1	43030
0406960	71.0	29.0	23.0	35.0	37.0	4.0	-1.0	10	30851	33506	36294	41843	-1	34393
0407020	76.5	23.5	82.4	-1.0	-1.0	0.0	0.0	4	34800	-1	-1	-2	-2	35823
0407080	65.0	35.0	43.1	25.1	16.8	11.5	3.5	10	36905	42050	46044	54106	59390	42491
0407130	67.5	32.5	23.8	15.0	38.8	18.8	3.8	14	30975	35290	41671	45690	49079	39205
0407170	72.4	24.1	37.9	24.1	20.7	13.8	-1.0	11	32073	33722	43447	51027	-1	38074
0407200	65.0	35.0	40.0	20.0	25.0	15.0	0.0	10	35556	40588	42050	46300	-2	39798
0407240	58.9	41.1	27.7	24.1	29.1	14.2	5.0	12	35476	42135	48301	49918	43439	43255
0407300	56.3	40.9	43.7	27.0	22.3	5.6	1.4	8	35696	39083	44261	51223	62327	39760
0407380	0.0	-1.0	0.0	-1.0	0.0	0.0	0.0	-1	-2	-1	-2	-2	-2	-1
0407430	61.5	38.5	-1.0	-1.0	76.9	0.0	0.0	13	-1	-1	46494	-2	-2	44687
0407500	54.5	45.5	-1.0	36.4	45.5	-1.0	0.0	13	-1	37271	45998	-1	-2	41953
0407520	74.1	25.9	35.6	25.9	32.2	6.3	0.0	9	36300	39937	45316	53021	-2	41200
0407530	73.1	26.9	30.8	34.6	23.1	11.5	0.0	10	33322	41609	44796	47458	-2	40469
0407570	45.8	53.6	34.3	25.2	28.5	9.7	2.3	10	38208	46522	53782	62592	66901	47773
0407630	72.7	27.3	36.4	27.3	27.3	-1.0	0.0	9	36028	39520	40328	-1	-2	38911
0407680	-1.0	-1.0	0.0	-1.0	0.0	-1.0	0.0	14	-2	-1	-2	-1	-2	49093
0407700	63.2	36.8	28.8	18.4	34.4	16.0	2.4	12	32353	35449	41157	45508	49953	38478
0407750	62.7	37.3	48.7	22.1	17.9	10.4	0.8	8	37843	42085	48884	59618	63855	43233
0407770	0.0	-1.0	0.0	-1.0	0.0	0.0	0.0	-1	-2	-1	-2	-2	-2	-1
0407820	74.4	25.6	28.0	24.0	28.8	16.8	2.4	12	27802	31758	36400	40806	46058	33851
0407860	90.9	-1.0	45.5	-1.0	45.5	0.0	0.0	9	29973	-1	38784	-2	-2	34404
0407890	69.4	30.6	60.5	19.4	14.5	5.6	0.0	7	32954	35854	41878	46556	-2	35579
0407920	33.3	66.7	20.0	26.7	33.3	20.0	0.0	12	39201	43730	51320	59946	-2	48597
0408020	63.6	36.4	21.2	18.2	54.5	-1.0	-1.0	12	36085	37185	43680	-1	-1	41323
0408080	71.9	28.1	25.0	17.2	34.4	18.8	4.7	14	32434	35413	39043	45342	46998	38321
0408130	53.7	46.3	53.7	26.8	9.8	9.8	0.0	8	35437	38607	45698	46300	-2	38349
0408170	63.5	35.6	34.9	22.2	23.2	16.2	3.5	11	33769	38191	42223	50989	48399	40012
0408230	55.9	44.1	29.4	26.5	23.5	11.8	8.8	11	29401	37764	40752	45997	47302	37817
0408280	43.6	55.1	38.5	19.2	25.6	15.4	-1.0	11	31038	37207	47326	55644	-1	40532
0408310	56.6	43.3	45.5	23.1	19.9	7.9	3.6	9	34680	39675	48087	54033	56793	40822
0408340	41.3	58.7	29.0	28.3	29.4	11.9	1.4	11	40647	46781	57608	67728	68920	50982
0408410	64.1	35.9	26.6	18.8	29.7	14.1	10.9	14	31635	36348	41165	42895	38166	37646
0408430	100.0	0.0	60.0	0.0	-1.0	-1.0	0.0	10	34758	-2	-1	-1	-2	39238
0408460	0.0	-1.0	0.0	0.0	0.0	-1.0	0.0	-1	-2	-2	-2	-1	-2	-1
0408490	69.0	31.0	65.9	18.6	8.5	6.2	-1.0	6	36435	42715	48254	53927	-1	39674
0408520	55.3	40.0	55.3	20.0	17.6	5.9	1.2	7	40682	46925	55297	60448	58240	45879
0408550	72.7	27.3	57.6	30.3	7.6	4.5	0.0	6	35544	39336	41954	47900	-2	37740
0408600	66.0	34.0	38.0	16.0	34.0	10.0	-1.0	10	29303	32412	37688	43330	-1	34444
0408640	87.5	-1.0	37.5	-1.0	50.0	0.0	0.0	9	32333	-1	40550	-2	-2	37475
0408680	45.3	50.7	22.7	35.3	22.7	16.0	3.3	12	35196	37446	41615	48509	51021	40104
0408800	42.1	57.9	32.9	19.5	29.5	14.7	3.5	12	34371	39111	47930	58374	61185	43741
