leaid	FIPST	STNAME	LEANAME07	cbsaID07	cbsaNAME07	cbsaAREA07
0100002	01	Alabama	ALABAMA YOUTH SERVICES	N	N	-2
0100005	01	Alabama	ALBERTVILLE CITY	10700	Albertville, AL Micropolitan Statistical Area	26.566706101
0100006	01	Alabama	MARSHALL COUNTY	10700	Albertville, AL Micropolitan Statistical Area	489.67080967
0100007	01	Alabama	HOOVER CITY	13820	Birmingham-Hoover, AL Metropolitan Statistical Area	46.79187085
0100008	01	Alabama	MADISON CITY	26620	Huntsville, AL Metropolitan Statistical Area	22.871162337
0100009	01	Alabama	AL INST DEAF AND BLIND	N	N	-2
0100010	01	Alabama	AL SCH OF MATH AND SCIENCE	N	N	-2
0100011	01	Alabama	LEEDS CITY	13820	Birmingham-Hoover, AL Metropolitan Statistical Area	22.765107792
0100012	01	Alabama	BOAZ CITY	23460	Gadsden, AL Metropolitan Statistical Area	2.0558875176
0100012	01	Alabama	BOAZ CITY	10700	Albertville, AL Micropolitan Statistical Area	11.456252693
0100013	01	Alabama	TRUSSVILLE CITY	13820	Birmingham-Hoover, AL Metropolitan Statistical Area	32.158402664
0100014	01	Alabama	ALABAMA CLINICAL ENTERPRISES	N	N	-2
0100015	01	Alabama	SAFETYNET ACADEMY	N	N	-2
0100016	01	Alabama	BRYCE ADOLESCENT SCHOOL	N	N	-2
0100017	01	Alabama	SEARCY HOSPITAL	N	N	-2
0100018	01	Alabama	ALABAMA SCHOOL OF FINE ARTS	N	N	-2
0100019	01	Alabama	UCP OF GREATER BIRMINGHAM	N	N	-2
0100020	01	Alabama	BOYD SCHOOL	N	N	-2
0100021	01	Alabama	BREWERS PORCH CHILDRENS CENTER	N	N	-2
0100022	01	Alabama	THREE SPRINGS COURTLAND SCH	N	N	-2
0100023	01	Alabama	THREE SPRINGS MADISON SCH	N	N	-2
0100024	01	Alabama	THREE SPRINGS NEW BEGINNINGS	N	N	-2
0100026	01	Alabama	THREE SPRINGS NEW TUSKEGEE	N	N	-2
0100028	01	Alabama	THREE SPRINGS NEW TUSKEGEE	N	N	-2
0100029	01	Alabama	THREE SPRINGS NEW DIRECTION	N	N	-2
0100030	01	Alabama	ALEXANDER CITY	10760	Alexander City, AL Micropolitan Statistical Area	95.228838898
0100032	01	Alabama	THE BRIDGE	N	N	-2
0100033	01	Alabama	GLENWOOD MENTAL HEALTH SERVICE	N	N	-2
0100035	01	Alabama	LEARNING TREE INC	N	N	-2
0100036	01	Alabama	LEE CO YOUTH DEVELOPMENT CTR	N	N	-2
0100037	01	Alabama	BAY POINT CENTER	N	N	-2
0100038	01	Alabama	PATHWAY INC	N	N	-2
0100039	01	Alabama	PRESBYTERIAN HOME FOR CHILDREN	N	N	-2
