leaid	FIPST	STNAME	LEANAME07	CDID07	CDAREA07
0100002	01	Alabama	ALABAMA YOUTH SERVICES	N	-2
0100005	01	Alabama	ALBERTVILLE CITY	0104	26.566706101
0100006	01	Alabama	MARSHALL COUNTY	0104	489.67080967
0100007	01	Alabama	HOOVER CITY	0106	46.79187085
0100008	01	Alabama	MADISON CITY	0105	22.871162337
0100009	01	Alabama	AL INST DEAF AND BLIND	N	-2
0100010	01	Alabama	AL SCH OF MATH AND SCIENCE	N	-2
0100011	01	Alabama	LEEDS CITY	0106	22.765107792
0100012	01	Alabama	BOAZ CITY	0104	13.512140211
0100013	01	Alabama	TRUSSVILLE CITY	0107	0.6170804652
0100013	01	Alabama	TRUSSVILLE CITY	0106	31.541322199
0100014	01	Alabama	ALABAMA CLINICAL ENTERPRISES	N	-2
0100015	01	Alabama	SAFETYNET ACADEMY	N	-2
0100016	01	Alabama	BRYCE ADOLESCENT SCHOOL	N	-2
0100017	01	Alabama	SEARCY HOSPITAL	N	-2
0100018	01	Alabama	ALABAMA SCHOOL OF FINE ARTS	N	-2
0100019	01	Alabama	UCP OF GREATER BIRMINGHAM	N	-2
0100020	01	Alabama	BOYD SCHOOL	N	-2
0100021	01	Alabama	BREWERS PORCH CHILDRENS CENTER	N	-2
0100022	01	Alabama	THREE SPRINGS COURTLAND SCH	N	-2
0100023	01	Alabama	THREE SPRINGS MADISON SCH	N	-2
0100024	01	Alabama	THREE SPRINGS NEW BEGINNINGS	N	-2
0100026	01	Alabama	THREE SPRINGS NEW TUSKEGEE	N	-2
0100028	01	Alabama	THREE SPRINGS NEW TUSKEGEE	N	-2
0100029	01	Alabama	THREE SPRINGS NEW DIRECTION	N	-2
0100030	01	Alabama	ALEXANDER CITY	0103	95.228838898
0100032	01	Alabama	THE BRIDGE	N	-2
0100033	01	Alabama	GLENWOOD MENTAL HEALTH SERVICE	N	-2
0100035	01	Alabama	LEARNING TREE INC	N	-2
0100036	01	Alabama	LEE CO YOUTH DEVELOPMENT CTR	N	-2
0100037	01	Alabama	BAY POINT CENTER	N	-2
0100038	01	Alabama	PATHWAY INC	N	-2
0100039	01	Alabama	PRESBYTERIAN HOME FOR CHILDREN	N	-2
0100040	01	Alabama	BRANTWOOD CHILDREN'S HOME	N	-2
0100041	01	Alabama	DEVELOPING ALABAMA YOUTH PROG	N	-2
0100042	01	Alabama	LAUREL OAKS BEHAVIORAL HEALTH	N	-2
0100043	01	Alabama	MOUNTAINVIEW HOSPITAL	N	-2
0100044	01	Alabama	THE RUSHTON SCHOOL	N	-2
0100045	01	Alabama	WILMER HALL	N	-2
0100046	01	Alabama	THREE SPRINGS PAINT ROCK VALLEY	N	-2
0100060	01	Alabama	ANDALUSIA CITY	0102	18.947938755
0100090	01	Alabama	ANNISTON CITY	0103	45.626556185
0100100	01	Alabama	ARAB CITY	0104	18.589772231
0100120	01	Alabama	ATHENS CITY	0105	38.548907176
0100173	01	Alabama	COMPASS ACADEMY	N	-2
0100174	01	Alabama	ETOWAH ACADEMY	N	-2
0100175	01	Alabama	POINTE ACADEMY	N	-2
0100176	01	Alabama	ALABAMA CORRECTIONAL FACILITIES	N	-2
0100178	01	Alabama	HIGDON HILL SCHOOL	N	-2
0100179	01	Alabama	THE BRIDGE II	N	-2
0100180	01	Alabama	ATTALLA CITY	0104	6.9820682567
0100181	01	Alabama	COMPASS SCHOOL	N	-2
0100183	01	Alabama	ALABAMA CLINICAL SCHOOL	N	-2
0100184	01	Alabama	EXCEL INSTITUTE	N	-2
0100185	01	Alabama	SARALAND CITY	N	-2
0100210	01	Alabama	AUBURN CITY	0103	55.563457051
0100240	01	Alabama	AUTAUGA COUNTY	0102	594.42368613
0100270	01	Alabama	BALDWIN COUNTY	0101	1589.7821805
0100300	01	Alabama	BARBOUR COUNTY	0102	825.58181698
0100330	01	Alabama	BESSEMER CITY	0106	10.783159613
0100330	01	Alabama	BESSEMER CITY	0107	29.902268659
0100360	01	Alabama	BIBB COUNTY	0106	622.58229768
0100390	01	Alabama	BIRMINGHAM CITY	0106	43.262006619
0100390	01	Alabama	BIRMINGHAM CITY	0107	102.32416598
0100420	01	Alabama	BLOUNT COUNTY	0104	628.8882018
0100450	01	Alabama	BREWTON CITY	0101	11.195041058
0100480	01	Alabama	BULLOCK COUNTY	0102	622.80459485
0100510	01	Alabama	BUTLER COUNTY	0102	776.83916219
0100540	01	Alabama	CALHOUN COUNTY	0103	485.18146686
0100600	01	Alabama	CHAMBERS COUNTY	0103	590.5363882
0100630	01	Alabama	CHEROKEE COUNTY	0103	553.70581447
0100660	01	Alabama	CHILTON COUNTY	0106	692.85577037
0100690	01	Alabama	CHOCTAW COUNTY	0107	913.50004209
0100720	01	Alabama	CLARKE COUNTY	0101	376.43599507
0100720	01	Alabama	CLARKE COUNTY	0107	756.23117906
0100750	01	Alabama	CLAY COUNTY	0103	603.98170957
0100780	01	Alabama	CLEBURNE COUNTY	0103	511.11330554
0100810	01	Alabama	COFFEE COUNTY	0102	496.04539094
0100840	01	Alabama	COLBERT COUNTY	0105	562.19960247
0100870	01	Alabama	CONECUH COUNTY	0102	850.15283275
0100900	01	Alabama	COOSA COUNTY	0106	275.28977277
0100900	01	Alabama	COOSA COUNTY	0103	375.62127315
0100930	01	Alabama	COVINGTON COUNTY	0102	987.85507153
0100960	01	Alabama	CRENSHAW COUNTY	0102	608.82421926
0100990	01	Alabama	CULLMAN CITY	0104	18.961192484
0101020	01	Alabama	CULLMAN COUNTY	0104	711.01096916
0101050	01	Alabama	DALE COUNTY	0102	361.74342159
0101080	01	Alabama	DALEVILLE CITY	0102	60.36891947
0101110	01	Alabama	DALLAS COUNTY	0107	964.93636148
0101140	01	Alabama	DEKALB COUNTY	0104	721.62595695
0101170	01	Alabama	DECATUR CITY	0104	13.261117812
0101170	01	Alabama	DECATUR CITY	0105	39.802666267
0101200	01	Alabama	DEMOPOLIS CITY	0107	17.738114231
0101230	01	Alabama	DOTHAN CITY	0102	87.710240742
0101260	01	Alabama	ELBA CITY	0102	83.941431389
0101290	01	Alabama	ELMORE COUNTY	0102	526.9324437
0101320	01	Alabama	ENTERPRISE CITY	0102	76.161457505
0101350	01	Alabama	ESCAMBIA COUNTY	0101	933.87672491
0101380	01	Alabama	ETOWAH COUNTY	0104	488.281882
0101410	01	Alabama	EUFAULA CITY	0102	59.267225176
0101440	01	Alabama	FAIRFIELD CITY	0107	3.4715319144
0101470	01	Alabama	FAYETTE COUNTY	0104	599.81029372
0101530	01	Alabama	FLORENCE CITY	0105	25.304728825
0101560	01	Alabama	FORT PAYNE CITY	0104	55.46835468
0101590	01	Alabama	FRANKLIN COUNTY	0104	620.44378777
0101620	01	Alabama	GADSDEN CITY	0104	36.852299316
0101640	01	Alabama	GENEVA CITY	0102	84.419633604
0101660	01	Alabama	GENEVA COUNTY	0102	489.97880299
0101680	01	Alabama	GREENE COUNTY	0107	647.10902637
0101690	01	Alabama	GUNTERSVILLE CITY	0104	25.357550691
0101710	01	Alabama	HALE COUNTY	0107	643.93985455
0101720	01	Alabama	HALEYVILLE CITY	0104	74.150824251
0101730	01	Alabama	HARTSELLE CITY	0104	0.1597157979
0101730	01	Alabama	HARTSELLE CITY	0105	14.652841635
0101740	01	Alabama	HENRY COUNTY	0102	561.60108618
0101760	01	Alabama	HOMEWOOD CITY	0107	3.1796467783
0101760	01	Alabama	HOMEWOOD CITY	0106	5.1906530069
0101770	01	Alabama	HOUSTON COUNTY	0102	498.39352885
0101800	01	Alabama	HUNTSVILLE CITY	0105	212.35526265
0101830	01	Alabama	JACKSON COUNTY	0105	1026.8682438
0101860	01	Alabama	JACKSONVILLE CITY	0103	9.6398662851
0101890	01	Alabama	JASPER CITY	0104	27.85372133
0101920	01	Alabama	JEFFERSON COUNTY	0107	118.40587176
0101920	01	Alabama	JEFFERSON COUNTY	0106	678.2050272
0101950	01	Alabama	LAMAR COUNTY	0104	604.84389503
0101980	01	Alabama	LANETT CITY	0103	5.9944131015
0102010	01	Alabama	LAUDERDALE COUNTY	0105	642.38978405
0102040	01	Alabama	LAWRENCE COUNTY	0105	690.67570815
0102070	01	Alabama	LEE COUNTY	0103	490.98155435
0102100	01	Alabama	LIMESTONE COUNTY	0105	516.62467278
0102130	01	Alabama	LINDEN CITY	0107	212.52665186
0102160	01	Alabama	LOWNDES COUNTY	0102	715.91192199
0102190	01	Alabama	MACON COUNTY	0103	608.94587311
0102220	01	Alabama	MADISON COUNTY	0105	566.42329192
0102250	01	Alabama	MARENGO COUNTY	0107	746.62138589
0102310	01	Alabama	MARION COUNTY	0104	702.69400128
0102350	01	Alabama	MIDFIELD CITY	0107	2.655706899
