LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
0400001	58.7	41.3	35.9	30.2	27.2	6.6	0.0	9	35749	41039	48626	57332	-1	42212
0400003	58.2	41.8	43.8	24.2	22.9	9.2	0.0	9	29076	32460	38301	46024	-2	33555
0400004	35.0	65.0	-1.0	40.0	30.0	25.0	0.0	14	-1	42168	48949	56350	-2	47236
0400005	100.0	0.0	50.0	40.0	-1.0	0.0	0.0	5	32457	35845	-1	-2	-2	34472
0400021	69.6	30.4	39.1	21.7	13.0	17.4	-1.0	12	25042	26339	31121	34740	-1	28627
0400022	66.7	-1.0	50.0	-1.0	-1.0	0.0	0.0	7	27997	-1	-1	-2	-2	29494
0400023	69.1	30.9	24.5	54.3	14.9	6.4	0.0	9	30870	35966	42319	46804	-2	36357
0400026	64.5	35.5	32.3	25.8	32.3	9.7	0.0	10	30076	32723	38907	43205	-2	34878
0400082	68.3	31.7	34.6	27.9	30.8	6.7	0.0	9	38575	45371	47407	55711	-2	44341
0400163	66.7	-1.0	-1.0	-1.0	-1.0	0.0	0.0	10	-1	-1	-1	-2	-2	35124
0400212	70.0	30.0	28.3	26.7	31.7	10.0	-1.0	11	31119	35921	42284	50505	-1	38168
0400295	76.0	24.0	39.5	24.6	24.9	9.9	1.1	10	37560	40670	45507	50882	58714	41859
0400315	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-1	-2	-1	-2	-2	-2	-1
0400450	54.8	45.2	44.3	29.7	21.5	4.1	-1.0	8	38254	44135	48345	56446	-1	42908
0400480	55.6	44.4	-1.0	33.3	44.4	0.0	0.0	10	-1	38387	39748	-2	-2	37373
0400520	70.4	29.6	33.3	11.1	11.1	37.0	-1.0	16	28597	31495	42324	43491	-1	37262
0400600	71.1	28.9	43.2	27.6	22.3	5.6	1.3	8	39228	48372	57046	58087	52913	46959
0400630	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	11	-1	-1	-1	-1	-2	39531
0400680	54.7	45.3	30.8	27.4	23.8	17.7	0.3	11	33723	37991	46162	56381	43886	41891
0400720	61.1	38.9	27.8	22.2	22.2	22.2	-1.0	12	35817	37337	42900	47409	-1	41216
0400790	47.4	52.6	33.4	29.8	22.2	13.2	1.3	10	32021	37506	44584	52723	56129	39504
0400840	63.6	36.4	45.5	27.3	27.3	0.0	0.0	8	36397	39217	39250	-2	-2	37944
0400870	100.0	0.0	75.0	0.0	-1.0	0.0	0.0	6	25989	-2	-1	-2	-2	29862
0400910	57.1	42.9	57.1	-1.0	21.4	-1.0	0.0	8	36375	-1	38300	-1	-2	36668
0400960	58.0	42.0	49.7	27.4	13.9	8.0	1.0	8	34178	42495	54091	60988	58660	41621
0401000	63.6	36.4	54.5	-1.0	36.4	0.0	0.0	7	35705	-1	40455	-2	-2	37819
0401050	64.9	35.1	50.0	26.3	17.0	6.2	-1.0	8	36811	41238	48562	53810	-1	41179
0401080	56.3	43.8	18.8	43.8	25.0	-1.0	0.0	12	29170	34620	43057	-1	-2	37993
0401160	70.0	30.0	40.0	40.0	0.0	-1.0	0.0	9	32299	34807	-2	-1	-2	34943
0401180	69.2	30.8	21.2	30.8	36.5	9.6	-1.0	11	29966	34317	39248	42999	-1	35755
0401260	30.0	70.0	0.0	30.0	50.0	-1.0	0.0	15	-2	31733	35840	-1	-2	36110
0401290	75.0	-1.0	75.0	0.0	0.0	-1.0	0.0	9	27489	-2	-2	-1	-2	29336
0401330	54.5	45.5	-1.0	-1.0	27.3	36.4	0.0	16	-1	-1	45095	45599	-2	40650
0401380	79.6	20.4	53.1	15.3	31.6	0.0	0.0	7	32684	32365	40615	-2	-2	35144
0401410	65.3	34.7	44.6	32.7	16.8	5.0	-1.0	7	38561	42963	45323	48573	-1	41735
0401460	59.8	40.2	28.6	25.9	24.9	15.9	4.8	12	30361	35580	43130	51017	53783	39283
0401500	81.1	18.9	58.1	20.7	14.0	5.4	1.8	7	32470	35542	39411	43862	46464	34944
0401600	61.0	39.0	22.1	33.8	31.2	10.4	-1.0	11	31138	35967	40490	46480	-1	37672
0401650	81.8	-1.0	36.4	-1.0	27.3	-1.0	0.0	11	28263	-1	36903	-1	-2	32417
0401680	53.9	46.1	55.2	20.2	14.7	9.4	0.3	7	38090	44838	52747	62609	62895	44012
0401710	68.9	31.1	42.8	28.4	16.4	9.4	3.0	9	36219	39831	47845	53096	55829	41322
0401740	48.7	51.3	36.1	19.6	31.0	12.0	-1.0	10	42197	44614	49848	53115	-1	46613
0401760	41.1	58.9	26.1	28.6	37.3	7.7	-1.0	11	34590	41226	47481	55463	-1	42985
0401810	52.8	47.2	19.4	33.3	27.8	19.4	0.0	11	30955	37873	41914	44126	-2	38866
0401870	40.2	59.8	43.7	30.3	18.6	6.5	1.0	8	40305	48840	57575	62077	60502	47716
0401940	51.0	49.0	19.8	30.8	28.1	17.4	4.0	13	32421	38705	45596	49081	48471	41587
0402110	46.2	53.8	38.5	-1.0	38.5	-1.0	0.0	8	31085	-1	36605	-1	-2	34496
0402130	50.0	50.0	50.0	-1.0	-1.0	-1.0	0.0	10	39290	-1	-1	-1	-2	45444
0402190	91.7	-1.0	-1.0	33.3	41.7	-1.0	0.0	12	-1	34055	38867	-1	-2	36186
0402220	80.0	-1.0	60.0	-1.0	-1.0	-1.0	0.0	9	30890	-1	-1	-1	-2	39437
0402250	57.1	42.9	33.3	38.1	23.8	0.0	-1.0	9	31489	34564	41237	-2	-1	35998
0402320	65.7	34.3	90.4	7.6	2.0	0.0	0.0	4	35121	37333	44818	-2	-2	35484
0402370	67.7	32.3	44.4	18.8	23.3	12.8	-1.0	10	31097	33080	38487	44365	-1	34958
0402400	69.6	30.4	48.8	18.1	19.0	13.0	1.2	9	34154	39396	44845	55087	60181	40155
0402430	62.4	37.6	44.8	24.8	19.8	9.2	1.3	9	35085	41801	48175	52883	55501	41254
0402480	62.5	37.5	50.0	0.0	37.5	-1.0	0.0	9	33158	-2	38000	-1	-2	35517
0402490	-1.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	21	-2	-2	-1	-2	-1	44382
0402530	62.2	37.8	23.3	27.8	24.4	19.4	5.0	14	29918	32235	39708	48667	55646	37887
0402600	53.3	46.7	16.7	26.7	30.0	23.3	-1.0	14	29830	31056	36741	37652	-1	34415
0402690	71.3	28.7	61.6	19.7	14.4	3.7	0.6	6	39295	45759	51017	65412	64874	43374
0402740	62.5	37.5	0.0	75.0	18.8	-1.0	0.0	10	-2	47524	51268	-1	-2	48955
0402760	81.8	-1.0	-1.0	45.5	45.5	0.0	0.0	10	-1	33320	38014	-2	-2	35052
0402790	82.9	17.1	35.7	28.6	12.9	21.4	-1.0	11	33439	35805	39453	42357	-1	36958
0402860	41.8	58.2	26.0	25.3	48.7	0.0	0.0	10	30114	32845	45305	-2	-2	38203
0402920	69.8	30.2	58.4	32.1	8.8	-1.0	-1.0	5	34204	38489	41412	-1	-1	36313
0403010	58.7	41.3	33.6	23.2	28.9	13.1	1.3	11	33026	39266	45377	53541	63704	41132
0403040	46.6	53.4	27.8	37.6	25.6	9.0	0.0	10	32677	36914	45103	55076	-2	39468
0403060	70.2	29.8	54.7	20.9	17.3	5.3	1.8	7	36138	41892	45799	51092	64798	40321
0403080	71.4	28.6	28.6	33.3	19.0	19.0	0.0	10	27780	37837	41730	47094	-2	37468
0403150	51.3	48.8	6.3	18.8	45.0	23.8	6.3	16	36522	40811	50837	60081	61065	50897
0403200	69.8	30.2	14.0	27.9	32.6	23.3	-1.0	15	35266	34965	40683	45098	-1	39534
0403240	61.0	39.0	37.1	38.5	24.4	0.0	0.0	7	36315	39848	47595	-2	-2	40428
0403290	73.6	26.4	43.2	27.2	20.0	9.6	0.0	8	35320	39399	47452	55888	-2	40830
0403310	80.6	19.4	45.2	19.4	25.8	-1.0	-1.0	10	29851	28210	31875	-1	-1	30433
0403400	45.7	54.3	42.0	30.6	21.6	5.5	0.3	8	36153	40414	48119	58292	59329	41328
0403420	59.1	40.9	50.5	20.8	19.6	6.2	2.9	8	36719	40728	46176	53085	57157	41006
0403450	65.5	34.5	29.0	28.3	22.0	14.9	5.8	12	37569	47142	54901	62667	65156	49430
0403500	68.6	31.4	34.3	18.1	33.3	11.4	2.9	11	28432	32511	37263	44750	51080	34626
