var	rel.inf
single_mom	18.26191228621341
married	10.23596184226474
exp_21_30	7.41681967677296
mbsal_21_30	6.968173980384924
advanced_educ	6.718531668176234
exp_6_10	6.047025641341477
mbsal_1_5	5.495682546076514
exp_11_20	4.727576509094331
educated	4.5623997372107805
mbsal_11_20	4.470138935428245
mbsal_6_10	4.085956730544956
exp_1_5	4.012657951830239
exp_gt_30	3.963406976910362
welfare	3.841026949049958
mbsal_gt_30	3.803510901365353
gini_index	3.115949174304009
per_capita_income	2.273268493031491
